CHARACTER,CHARACTER,CHINESE,ENGLISH,RUSSIAN,SPANISH,JAPANESE,KOREAN,FRENCH,GERMAN,PORTUGUESE,THAI,INDONESIAN,VIETNAMESE
,,「癫狂撕咬」,"""Madness Bite""",,,,,,"""Wahnsinnsbiss""",,,,
,,终焉进化,Final Evolution,,,,,,Endgültige Evolution,,,,
,,「鬼面撕咬」,"""Ghostly Bite""",,,,,,"""Gespenstischer Biss""",,,,
,,利齿撕咬,Fanged Devourment,,,,,,Scharfzähniges Verschlingen,,,,
,,延续血缘,Bloodline Eternal,,,,,,Ewige Blutlinie,,,,
,,延续血缘\n反击,Bloodline Continuation\nCounter,,,,,,Blutlinienfortsetzung\nKonter,,,,
,,延续血缘\n净化,Bloodline Continuation\nPurification,,,,,,Blutlinienfortsetzung\nReinigung,,,,
,,延续血缘\n植入,Bloodline Continuation\nImplantation,,,,,,Blutlinienfortsetzung\nImplantation,,,,
,,撕裂哀恸,Rending Lament,,,,,,Ergreifendes Klagelied,,,,
,,倒打一耙,Turning the Tables,,,,,,Den Spieß umdrehen,,,,
,,犯罪预告,Crime's Omen,,,,,,Omen des Verbrechens,,,,
,,拐卖,Human Trafficking,,,,,,Menschenhandel,,,,
,,扬尘,Dust Cloud,,,,,,Staubwolke,,,,
,,敲竹杠,Extortion,,,,,,Erpressung,,,,
,,雨夜屠戮,Rainy Night Slaughter,,,,,,Gemetzel in einer regnerischen Nacht,,,,
,,暗巷劫道,Back Alley Ambush,,,,,,Raubüberfall in einer Hintergasse,,,,
,,隐于黑暗,Hidden in the Dark,,,,,,In der Dunkelheit versteckt,,,,
,,啼鸣,Cry,,,,,,Weinen,,,,
,,振翅,Fluttering,,,,,,Flattern,,,,
,,尾针！,Tail Sting!,,,,,,Schwanzstich!,,,,
,,出血爪,Bleeding Claw,,,,,,Blutende Klaue,,,,
,,低吼,Growl,,,,,,Knurren,,,,
,,破甲,Armor Penetration,,,,,,Rüstungsdurchdringung,,,,
,,剑势,Sword Form,,,,,,Schwertform,,,,
,,幻影剑,Phantasm Sword,,,,,,Phantom-Schwert,,,,
,,重创,Blighten,,,,,,Verderben,,,,
,,试探剑招,Feinting Blade,,,,,,Fintenklinge,,,,
,,蚀血剑招,Bloody Blade,,,,,,Blutige Klinge,,,,
,,剑意,Sword Intent,,,,,,Schwertabsicht,,,,
,,影刃「<PunctureDamagewords:穿刺>」,"Shadow Blade""<PunctureDamagewords:Pierce>""",,,,,,"Schattenklinge""<PunctureDamagewords:Durchstechen>""",,,,
,,败血,Sepsis,,,,,,Sepsis,,,,
,,割裂之刃,Blade of Rending,,,,,,Klinge des Zerreißens,,,,
,,破甲之刃,Armor-Piercing Blade,,,,,,Rüstungsdurchdringende Klinge,,,,
,,「重创」飞刃,"""Blighted"" Blades",,,,,,"""Verdorbene"" Klingen",,,,
,,豢养,Rearing,,,,,,Aufzucht,,,,
,,归巢,Return to the Nest,,,,,,Zum Nest zurückkehren,,,,
,,制裁,Sanction,,,,,,Sanktion,,,,
,,群鸟归巢,Birds Return to Their Nests,,,,,,Vögel kehren in ihre Nester zurück,,,,
哈姆林,Hameln,追忆回旋曲\n算力 ≥2,Memory Rondo\nArithmetica ≥2,,,,,,Erinnerungsrondo\nArithmetica ≥2,,,,
哈姆林,Hameln,下行音\n算力 1,Descending Scale\nArithmetica 1,,,,,,Absteigende Tonleiter\nArithmetica 1,,,,
哈姆林,Hameln,灵魂序曲\n算力 0,Soul Overture\nArithmetica 0,,,,,,Seelen-Ouvertüre\nArithmetica 0,,,,
哈姆林,Hameln,上行音\n算力 3,Ascending Scale\nArithmetica 3,,,,,,Aufsteigende Tonleiter\nArithmetica 3,,,,
哈姆林,Hameln,原初的乐音\n算力 ≤2,Primal Chord\nArithmetica ≤2,,,,,,Urakkord\nArithmetica ≤2,,,,
,,狂气窃取,Aliemus Steal,,,,,,Aliemus stehlen,,,,
,,冰霜尖啸,Frost Screech,,,,,,Frostkreischen,,,,
,,风雪挥击,Blizzard Strike,,,,,,Schneesturmschlag,,,,
,,碎冰猛凿,Ice Shatter Strike,,,,,,Eiszertrümmerungsschlag,,,,
,,刺骨挥击,Bone-Chilling Swing,,,,,,Knochenerschütternder Schlag,,,,
,,警备,Security,,,,,,Sicherheit,,,,
,,霜冻之咏,Frost Hymn,,,,,,Frosthymne,,,,
,,急冻复苏,Cryo Revival,,,,,,Kryo-Wiederbelebung,,,,
,,碎冰飞刃,Ice-Shattering Blades,,,,,,Eiszertrümmernde Klingen,,,,
,,破甲针刺,Armor-Piercing Needle,,,,,,Rüstungsdurchdringende Nadel,,,,
,,血之棘,Blood Spikes,,,,,,Blutstacheln,,,,
,,咒毒,Curse Toxin,,,,,,Fluchtoxin,,,,
,,秽乱之子,Spawn of Corruption,,,,,,Brut der Verderbnis,,,,
,,衰竭畸变,Drain Distortion,,,,,,Abflussverzerrung,,,,
,,断肢畸变,Mutilated Evolution,,,,,,Verstümmelte Entwicklung,,,,
,,痴愚畸变,Foolish Aberration,,,,,,Törichte Abweichung,,,,
,,失语畸变,Aphasia Distortion,,,,,,Aphasie-Verzerrung,,,,
,,代谢畸变,Metabolic Mutation,,,,,,Stoffwechselmutation,,,,
,,蓄势突袭,Charged Assault,,,,,,Vorbereiteter Überraschungsangriff,,,,
,,殊死一搏,Desperate Struggle,,,,,,Verzweifelter Kampf,,,,
,,掩护,Cover,,,,,,Schutz,,,,
,,穿心一击,Heartpiercer,,,,,,Herzbrecher,,,,
,,无畏掩护,Fearless Cover,,,,,,Furchtloser Schutz,,,,
,,蓄势猛袭,Charged Assault,,,,,,Vorbereiteter Sturmangriff,,,,
,,畸变扩散,Distortion Spread,,,,,,Verzerrungsausbreitung,,,,
,,祷言,Prayer,,,,,,Gebet,,,,
,,千针,Thousand Needles,,,,,,Tausende Nadeln,,,,
,,血棘喷射,Bloodthorn Spray,,,,,,Blutdorn-Spray,,,,
,,污秽降生,Corruption Reborn,,,,,,Wiedergeborene Korruption,,,,
,,黯蚀,Erosion of Darkness,,,,,,Erosion der Dunkelheit,,,,
,,冲击,Impact,,,,,,Aufprall,,,,
,,匿踪呼唤,Call of Stealth,,,,,,Ruf der Heimlichkeit,,,,
,,匿踪突袭,Stealth Attack,,,,,,Heimtückischer Angriff,,,,
,,邪秽畸生,Defiled Progeny,,,,,,Geschändete Nachkommen,,,,
,,畸生千针,Aberrant Spines,,,,,,Abnormale Nadeln,,,,
,,鲜血祈祷,Blood Prayer,,,,,,Blutgebet,,,,
,,秽乱播撒,Corruption Spread,,,,,,Korruptionsausbreitung,,,,
,,鼓舞,Inspire,,,,,,Inspirieren,,,,
,,护卫,Escort,,,,,,Eskortieren,,,,
,,飞沙走石,Sandstorm Onslaught,,,,,,Sandsturm-Ansturm,,,,
,,啄食,Peck,,,,,,Picken,,,,
,,鼓翼,Skitter,,,,,,Umherschwirren,,,,
,,沙海的呢喃,Desert Whispers,,,,,,Wüstenflüstern,,,,
,,癫狂啄食,Frenzied Pecking,,,,,,Wildes Picken,,,,
,,癫狂鼓翼,Frenzied Skitter,,,,,,Wildes Umherschwirren,,,,
艾尔瓦,Alva,增幅打击,Amplified Strike,,,,,,Verstärkter Angriff,,,,
艾尔瓦,Alva,利刃,Blade,,,,,,Klinge,,,,
,,胎动,Fetal Movement,,,,,,Kindsbewegung,,,,
,,裁剪,Cut,,,,,,Schnitt,,,,
,,贪念,Greed,,,,,,Gier,,,,
,,墨染,Ink Stain,,,,,,Tintenfleck,,,,
,,分断之缘,Severed Connection,,,,,,Gelöste Verbindung,,,,
,,融蚀墨染,Inkblight Dissolution,,,,,,Tintenfärbungsauflösung,,,,
,,禁绝贪念,Divine Abnegation,,,,,,Göttliche Selbstverleugnung,,,,
,,诗中的幻惑乐园,Poetic Paradise of Enchantment,,,,,,Poetisches Paradies der Verzauberung,,,,
,,贪欲之歌,Song of Avarice,,,,,,Lied der Habgier,,,,
,,供养,Benefaction,,,,,,Spende,,,,
,,浇灌,Watering,,,,,,Bewässerung,,,,
,,霜棱,Frost Edge,,,,,,Frostkante,,,,
,,寒焰,Frigid Flame,,,,,,Kälteflamme,,,,
,,冰之语,Words of Ice,,,,,,Eiskalte Wörter,,,,
,,凛冽寒焰,Biting Frostflame,,,,,,Beißende Kälteflamme,,,,
,,冰之怒,Fury of Ice,,,,,,Wut des Eises,,,,
,,冷冽之灵,Frigid Spirit,,,,,,Eisiger Geist,,,,
,,霜寒彻骨,Bone-Chilling Frost,,,,,,Knocherschütternder Frost,,,,
,,「矛盾」合形,"""Paradox"" Unification",,,,,,"""Paradox"" Vereinigung",,,,
,,「矛盾」黯翼,"""Paradox"" Foulwing",,,,,,"""Paradox"" Foulwing",,,,
,,「矛盾」银辉,"""Paradox"" Silverflare",,,,,,"""Paradox"" Silverflare",,,,
,,掠夺之双翼,Twin Wings of Plunder,,,,,,Zwillingsflügel der Plünderung,,,,
,,同化之四翼,Four Wings of Seize,,,,,,Vier Flügel der Eroberung,,,,
,,粉碎之六翼,Six Wings of Ruin,,,,,,Sechs Flügel des Ruins,,,,
,,侵食,Erosion,,,,,,Erosion,,,,
,,万物侵食,Devour All,,,,,,Alles verschlingen,,,,
,,真理问询,Truth Inquiry,,,,,,Wahrheitsermittlung,,,,
,,深渊之视,Abyssal Vision,,,,,,Abgrundtiefe Vision,,,,
,,忘却,Oblivion,,,,,,Vergessenheit,,,,
,,永恒忘却,Eternal Oblivion,,,,,,Ewige Vergessenheit,,,,
,,毁灭,Destruction,,,,,,Zerstörung,,,,
,,覆亡毁灭,Total Destruction,,,,,,Völlige Zerstörung,,,,
,,新生之始,Dawn of Rebirth,,,,,,Anbruch der Wiedergeburt,,,,
,,遗忘乃新生之始,Oblivion Seeds Rebirth,,,,,,Vergessenheitssamen-Wiedergeburt,,,,
,,巨物崩解,Giant's Collapse,,,,,,Zusammenbruch des Riesen,,,,
,,融蚀分形,Dissolution Fractal,,,,,,Auflösungsfraktale,,,,
,,弃用,Obsolete,,,,,,Veraltet,,,,
,,强行融合,Forced Fusion,,,,,,Erzwungene Fusion,,,,
,,完美融合,Perfect Fusion,,,,,,Perfekte Fusion,,,,
,,圣愈,Holy Healing,,,,,,Heilige Heilung,,,,
,,净化,Purify,,,,,,Reinigen,,,,
,,融合度up,Fusion Level ▲,,,,,,Fusionsniveau ▲,,,,
,,融合度down,Fusion Level ▼,,,,,,Fusionsniveau ▼,,,,
,,融蚀之芯,Dissolution Core,,,,,,Kern der Auflösung,,,,
,,记忆消解,Memory Dissolution,,,,,,Gedächtnisauflösung,,,,
,,协奏曲,Concerto,,,,,,Concerto,,,,
,,狂想曲,Rhapsody,,,,,,Rhapsodie,,,,
,,休息,Rest,,,,,,Ruhe,,,,
,,沉眠曲,Lullaby,,,,,,Schlaflied,,,,
,,拉蒙娜支援,Ramona: Support,,,,,,Ramona: Unterstützung,,,,
,,拉蒙娜最终支援,Ramona's Final Support,,,,,,Ramonas letzte Unterstützung,,,,
,,拉蒙娜最终支援回溯,Ramona Final Support Rewind,,,,,,Ramonas letzte Unterstützungs-Rückblende,,,,
,,回答塔薇,Answer Tawil,,,,,,Antworte Tawil,,,,
,,为了在意的人,For my loved ones,,,,,,Für meine Geliebten,,,,
,,为了这个世界,For this world,,,,,,Für diese Welt,,,,
,,只是为了自己而已,For myself,,,,,,Für mich selbst,,,,
,,寻找前路,Seek the Path Forward,,,,,,Suche den Weg nach vorne,,,,
,,回忆过往,Recall the Past,,,,,,Erinnere dich an die Vergangenheit,,,,
,,握紧银钥,Hold the Silver Key,,,,,,Halte den Silberschlüssel fest,,,,
,,最初的链接,The First Link,,,,,,Die erste Verbindung,,,,
,,污染,Polluted,,,,,,Verschmutzt,,,,
,,飞刃,Flying Blades,,,,,,Fliegende Klingen,,,,
,,血红誓言,Crimson Vow,,,,,,Blutroter Schwur,,,,
,,降罪灯火,Lantern of Sin,,,,,,Sündenlaterne,,,,
,,破蛹,Chrysalis Break,,,,,,Puppenbrechen,,,,
,,血污灯芯,Blood-Stained Wick,,,,,,Blutbeschmierter Docht,,,,
,,冰刺,Ice Thorn,,,,,,Eisdorn,,,,
,,原初混沌之种,Primordial Chaos Seed,,,,,,Urchaos-Samen,,,,
,,原初混沌之灵,Primordial Chaos Wraith,,,,,,Urchaos-Gespenst,,,,
,,原初混沌之核,Primordial Chaos Core,,,,,,Urchaos-Kern,,,,
,,深空注目,Gaze of Deepspace,,,,,,Weltraumblick,,,,
,,真·深空注目,Gaze of Deepspace EX,,,,,,Weltraumblick EX,,,,
,,遗忘万物之影,Shadow of Forgotten All,,,,,,Schatten der Allvergessenen,,,,
,,无上意志之权,Will of the Absolute,,,,,,Wille des Absoluten,,,,
,,盲目痴愚之壁,Wall of Blind Folly,,,,,,Wand der blinden Torheit,,,,
,,亘古穿今之锁,The Timeless Lock,,,,,,Das zeitlose Schloss,,,,
,,「世界崩析之融蚀」,"""Dissolution Cataclysm""",,,,,,"""Auflösungskatastrophe""",,,,
,,万千世界之眼,Eyes of Infinite Worlds,,,,,,Augen der unendlichen Welten,,,,
,,终结……,The End...,,,,,,Das Ende...,,,,
,,凝视-倒计时：1,Gaze - Countdown: 1,,,,,,Blick-Countdown: 1,,,,
,,强化-倒计时：2,Enhance - Countdown: 2,,,,,,Verbesserungs-Countdown: 2,,,,
,,锁缚-倒计时：3,Lock - Countdown: 3,,,,,,Sperr-Countdown: 3,,,,
,,锁缚-倒计时：4,Lock - Countdown: 4,,,,,,Sperr-Countdown: 4,,,,
,,移形换影,Shadow Shift,,,,,,Schattenverschiebung,,,,
,,永恒的安眠,Eternal Slumber,,,,,,Ewiger Schlaf,,,,
,,侵扰,Harassment,,,,,,Belästigung,,,,
,,zzZZ…,zzZZ...,,,,,,zzZZ...,,,,
拉蒙娜,Ramona,弱点打击,Weak Point Strike,,,,,,Schwachstellenangriff,,,,
奥吉尔,Ogier,盾裂冲击,Shieldbreaker Impact,,,,,,Schildzerstörender Einschlag,,,,
奥吉尔,Ogier,重创奔袭,Severe Assault,,,,,,Schwerer Angriff,,,,
奥吉尔,Ogier,「穿刺」之枪,Piercing Strike,,,,,,Durchstechender Schlag,,,,
奥吉尔,Ogier,「暴怒」之枪,Furious Strike,,,,,,Wütender Schlag,,,,
朵尔,Doll,分离,Separation,,,,,,Trennung,,,,
朵尔,Doll,灵肉@1分,Flesh De@1ched,,,,,,@1gelöstes Gewebe,,,,
朵尔,Doll,自毁程序,Self-Destruct Program,,,,,,Selbstzerstörungsprogramm,,,,
熔毁·朵尔,Doll: Inferno,呼唤终末,Call of the End,,,,,,Ruf des Endes,,,,
熔毁·朵尔,Doll: Inferno,终末狂想,Final Rhapsody,,,,,,Letzte Rhapsodie,,,,
,,拉蒙娜 · 支援,Ramona: Support,,,,,,Ramona: Unterstützung,,,,
,,奥吉尔 · 支援,Ogier: Support,,,,,,Ogier: Unterstützung,,,,
,,萝坦 · 支援,Lotan: Support,,,,,,Lotan: Unterstützung,,,,
,,朵尔 · 支援,Doll: Support,,,,,,Doll: Unterstützung,,,,
,,环行·拉蒙娜·支援,Ramona: Timeworn: Support,,,,,,Ramona: Zeitverwittert: Unterstützung,,,,
,,希莱斯特·支援,Celeste: Support,,,,,,Celeste: Unterstützung,,,,
,,珊·支援,Sanga: Support,,,,,,Sanga: Unterstützung,,,,
,,奥瑞塔·支援,Aurita: Support,,,,,,Aurita: Unterstützung,,,,
,,凯刻斯·支援,Caecus: Support,,,,,,Caecus: Unterstützung,,,,
,,戈利亚·支援,Goliath: Support,,,,,,Goliath: Unterstützung,,,,
,,雷娅·支援,Leigh: Support,,,,,,Leigh: Unterstützung,,,,
,,尤乌哈希·支援,Uvhash: Support,,,,,,Uvhash: Unterstützung,,,,
,,希洛·支援,Helot: Support,,,,,,Helot: Unterstützung,,,,
,,艾继丝·支援,Aigis: Support,,,,,,Aigis: Unterstützung,,,,
,,菲茵特·支援,Faint: Support,,,,,,Faint: Unterstützung,,,,
,,詹金·支援,Jenkin: Support,,,,,,Jenkin: Unterstützung,,,,
,,卡茜亚·支援,Casiah: Support,,,,,,Casiah: Unterstützung,,,,
,,莉兹·支援,Liz: Support,,,,,,Liz: Unterstützung,,,,
,,汀克特·支援,Tinct: Support,,,,,,Tinct: Unterstützung,,,,
,,温柯尔·支援,Winkle: Support,,,,,,Winkle: Unterstützung,,,,
,,追忆微光-天真的回礼,Twilight: Innocent Return Gift,,,,,,Dämmerung: Unschuldiges Gegengeschenk,,,,
,,追忆微光-未完的蜡像,Twilight: Unfinished Wax Sculpture,,,,,,Dämmerung: Unvollendete Wachsskulptur,,,,
,,追忆微光-畸变之心,Twilight: Mutated Heart,,,,,,Dämmerung: Mutiertes Herz,,,,
,,追忆微光-蜂蜜甜酒,Twilight: Honey Mead,,,,,,Dämmerung: Honigmet,,,,
,,追忆微光-代行者的裁决,Twilight: The Executor's Verdict,,,,,,Dämmerung: Das Urteil des Vollstreckers,,,,
,,追忆微光-乌托邦帷幕,Twilight: Utopian Veil,,,,,,Dämmerung: Utopischer Schleier,,,,
,,追忆微光-丰穰之核,Twilight: Seed of Abundance,,,,,,Dämmerung: Samen der Fülle,,,,
,,追忆-天真的回礼,Memories: Innocent Return Gift,,,,,,Erinnerungen: Unschuldiges Gegengeschenk,,,,
,,追忆-未完的蜡像,Memories: Unfinished Wax Sculpture,,,,,,Erinnerungen: Unvollendete Wachsskulptur,,,,
,,追忆-畸变之心,Memories: Mutated Heart,,,,,,Erinnerungen: Mutiertes Herz,,,,
,,追忆-蜂蜜甜酒,Memories: Honey Mead,,,,,,Erinnerungen: Honigmet,,,,
,,追忆-代行者的裁决,Memories: The Executor's Verdict,,,,,,Erinnerungen: Das Urteil des Vollstreckers,,,,
,,追忆-乌托邦帷幕,Memories: Utopian Veil,,,,,,Erinnerungen: Utopischer Schleier,,,,
,,追忆-丰穰之核,Memories: Seed of Abundance,,,,,,Erinnerungen: Samen der Fülle,,,,
,,苏醒Ⅰ,Awakening I,,,,,,Erwachen I,,,,
,,苏醒Ⅱ,Awakening II,,,,,,Erwachen II,,,,
,,苏醒Ⅲ,Awakening III,,,,,,Erwachen III,,,,
,,磨磨爪,Sharpening Claws,,,,,,Schärfende Klauen,,,,
,,猫拳,Feline Blow,,,,,,Katzenhieb,,,,
,,抛洒银芯,Sprinkle Silvers,,,,,,Silber streuen,,,,
,,禁闭中…,In Confinement...,,,,,,In Gefangenschaft...,,,,
,,流逝,Elapsed,,,,,,Verstrichen,,,,
,,没入火烬,Engulfed in Ashes,,,,,,In Asche gehüllt,,,,
,,再流逝,Flow Once More,,,,,,Fließe erneut,,,,
,,无火之灰,Ashes Without Fire,,,,,,Asche ohne Feuer,,,,
,,屏蔽,Block,,,,,,Blocken,,,,
,,物理修复,Physical Repair,,,,,,Physische Reparatur,,,,
,,触达,Reach,,,,,,Erreichen,,,,
,,拨号炸弹,Dial-a-Bomb,,,,,,Ruf-die-Bombe,,,,
,,银芯交融,Silver Integration,,,,,,Silberintegration,,,,
,,双螺旋,Double Helix,,,,,,Doppelhelix,,,,
,,异体排斥,Host Rejection,,,,,,Wirtsablehnung,,,,
,,融蚀赘生,Hyperplasia Dissolution,,,,,,Hyperplasie-Auflösung,,,,
,,连结解除,Connection Severed,,,,,,Verbindung getrennt,,,,
,,永恒共生,Eternal Symbiosis,,,,,,Ewige Symbiose,,,,
,,狂宴,Madness Feast,,,,,,Wahnsinnsfestmahl,,,,
,,自毁,Self-Destruct,,,,,,Selbstzerstören,,,,
,,灵智催眠,Psychic Hypnosis,,,,,,Psychische Hypnose,,,,
,,银钥匙研究,Silver Key Research,,,,,,Silberschlüssel-Forschung,,,,
,,指令仪研究,Command Device Study,,,,,,Kommandogerätstudie,,,,
,,连击研究,Combo Research,,,,,,Kombo-Forschung,,,,
,,生存研究,Survival Research,,,,,,Überleben-Forschung,,,,
,,狂气研究,Aliemus Research,,,,,,Aliemus-Forschung,,,,
,,来自深渊的癫狂,Abyssal Madness,,,,,,Abgrundiger Wahnsinn,,,,
,,强心针,Adrenaline Shot,,,,,,Adrenalinschub,,,,
,,衰弱瘟疫,Weakening Plague,,,,,,Schwächende Seuche,,,,
,,爆发式兴奋,Explosive Excitement,,,,,,Explosive Begeisterung,,,,
,,瓶装虚无,Bottled Illusion,,,,,,Flaschenillusion,,,,
,,回溯救援,Backtrack Rescue,,,,,,Rückverfolgungsrettung,,,,
,,备用脑缸,Spare Brain Tank,,,,,,Übriges Gehirntank,,,,
,,狂乱熔毁,Frantic Meltdown,,,,,,Rasende Schmelze,,,,
,,禁忌的交易,Taboo Trade,,,,,,Tabuhandel,,,,
,,以物易物,Barter,,,,,,Tauschhandel,,,,
,,原质的污染,Primordial Pollution,,,,,,Urverschmutzung,,,,
,,交易完成,Transaction Completed,,,,,,Transaktion abgeschlossen,,,,
,,欣赏头颅藏品,Admire the Skull Collection,,,,,,Die Schädelsammlung bewundern,,,,
,,跨越维度的低喃,Dimensional Whispers,,,,,,Dimensionales Geflüster,,,,
,,请尽情挑选,Be My Guest!,,,,,,Sei mein Gast!,,,,
,,银货两讫,Transaction Complete,,,,,,Transaktion abgeschlossen,,,,
,,小店杜绝赊欠,No Credit at This Shop,,,,,,Keine Kreditkarte in diesem Geschäft,,,,
,,你的头颅已预订,Your Head Is Reserved,,,,,,Dein Platz ist reserviert,,,,
,,万千门扉的守护,Guardians of Myriad Gates,,,,,,Wächter unzähliger Tore,,,,
,,死亡亦可被贩售,Death for Sale,,,,,,Tod zum Verkauf,,,,
,,新的藏品已入库,New Collectible Added,,,,,,Neues Sammlerstück hinzugefügt,,,,
,,价格好商量,Price Negotiable,,,,,,Verhandelbarer Preis,,,,
,,请勿贪得无厌,Please Don't Be Greedy...,,,,,,Bitte sei nicht geizig...,,,,
,,小店今日打折,Shop Discounts Today,,,,,,Geschäftsrabatte heute,,,,
,,您所期待之物,Here's What You Longed For,,,,,,Hier ist was du dir gewünscht hast,,,,
,,千年的学识,Millennial Wisdom,,,,,,Tausendjährige Weisheit,,,,
,,托乎瓦波凝视装置,Tohuwabohu Observatory,,,,,,Tohuwabohu-Observatorium,,,,
,,融蚀发酵框体,Dissolution Fermentor Frame,,,,,,Auflösungsfermenterrahmen,,,,
,,意识干扰装置,Consciousness Disruptor,,,,,,Bewusstseinsstörer,,,,
,,机械臂挥击,Mechanical Arm Swing,,,,,,Mechanischer Armschwung,,,,
,,机械脉冲,Mechanical Pulse,,,,,,Mechanischer Puls,,,,
,,机械飞升,Mechanical Ascension,,,,,,Mechanischer Aufstieg,,,,
,,系统重启,System Reboot,,,,,,Systemneustart,,,,
,,巢群意志,Hive Will,,,,,,Schwarmbewusstsein,,,,
,,失控追击,Feral Pursuit,,,,,,Wildes Verfolgen,,,,
,,咬噬,Gnaw,,,,,,Nagen,,,,
,,戳刺,Stab,,,,,,Einstechen,,,,
,,迈向新生,To A New Life,,,,,,Zu einem neuen Leben,,,,
,,认知汲取,Cognition Extraction,,,,,,Erkenntnisgewinnung,,,,
,,螫针,Stinging Needle,,,,,,Stechende Nadel,,,,
,,毒牙,Poison Fang,,,,,,Giftzahn,,,,
,,心智寄生,Mental Parasitism,,,,,,Geistiger Parasitismus,,,,
,,狩猎时刻,Hunting Moment,,,,,,Jagdmoment,,,,
,,神经毒素,Neurotoxin,,,,,,Neurotoxin,,,,
,,狩猎时刻·破甲,Hunting Moment: Armor Break,,,,,,Jagdmoment: Rüstungsdurchdringung,,,,
,,狩猎时刻·重创,Hunting Moment: Devastation,,,,,,Jagdmoment: Verzweiflung,,,,
,,幼虫繁育,Larval Breeding,,,,,,Larvenaufzucht,,,,
,,毒刺散射,Poison Spike Scatter,,,,,,Giftspitzen-Streuung,,,,
,,散播痛楚,Spreading Pain,,,,,,Schmerzen verbreiten,,,,
,,散播剧毒,Spreading Toxin,,,,,,Toxin verbreiten,,,,
,,拟态,Mimicry,,,,,,Mimikry,,,,
,,呼唤同族,Summon Kindreds,,,,,,Gleichgesinnte beschwören,,,,
,,虫巢干涉,Cocoon Interference,,,,,,Kokon-Interferenz,,,,
,,蜕变之刻,Metamorphosis Moment,,,,,,Metamorphose-Moment,,,,
,,痛楚切割,Pain Cut,,,,,,Schmerzhaftes Schneiden,,,,
,,维度撕裂,Dimension Tear,,,,,,Dimensionsriss,,,,
,,意识幽禁,Mind Incarceration,,,,,,Gedankengefängnis,,,,
,,巢群捕食,Hive Predation,,,,,,Bienenstock-Raubzüge,,,,
,,歇斯底里,Hysteria,,,,,,Hysterie,,,,
,,超越,Transcend,,,,,,Überschreiten,,,,
,,引航员的抉择,Navigator's Dilemma,,,,,,Dilemma des Navigators,,,,
,,破浪启航,Archor Off,,,,,,Anker abwerfen,,,,
,,拢岸暂息,Harbored Rest,,,,,,Hafenruhe,,,,
,,赴死如归的天火,Face Death in Fiery Resolve,,,,,,Dem Tod mit feuriger Entschlossenheit entgegentreten,,,,
,,灵魂吞噬,Soul Devour,,,,,,Seelenfressen,,,,
,,记忆共鸣,Memory Resonance,,,,,,Erinnerungsresonanz,,,,
,,子嗣激励,Inspire Offsprings,,,,,,Nachkommen inspirieren,,,,
,,子嗣庇佑,Protect Offsprings,,,,,,Nachkommen schützen,,,,
,,黑羽,Black feather,,,,,,Schwarze Feder,,,,
,,不屈的孤嚎鸟,The Unyielding Lone Howler,,,,,,Der unnachgiebe einsame Heuler,,,,
,,蔽日之羽,Feather of the Sunblocker,,,,,,Sonnenschutzfeder,,,,
,,翱翔夙愿,Soaring aspirations,,,,,,Überragende Ambitionen,,,,
,,穿行永夜,Traversing the Eternal Night,,,,,,Durch die ewige Nacht reisen,,,,
,,双重黑羽,Double Onyx Plume,,,,,,Doppelte Onyxfeder,,,,
,,祭灵夜特调,Soulsfeast Special Blend,,,,,,Seelenfestmahl-Spezialmischung,,,,
,,蜂糖之金,Honey Gold,,,,,,Honiggold,,,,
,,无垢之银,Pure Silver,,,,,,Reines Silber,,,,
,,血腥之红,Bloody Red,,,,,,Blutiges Rot,,,,
,,灵感之蓝,Azure Blue,,,,,,Azurblau,,,,
,,森然之绿,Grim Green,,,,,,Düsteres Grün,,,,
,,残骸收取,Corpse Collection,,,,,,Leichensammlung,,,,
,,万灵的餍飨,Pandemonium Glut,,,,,,Pandemonium-Glut,,,,
,,制定策略,Strategy,,,,,,Strategie,,,,
,,正面干扰,Interference,,,,,,Interferenz,,,,
,,偷袭储备,Ambush,,,,,,Überfall,,,,
,,钉刺,Spiked,,,,,,Mit Spitzen versehen,,,,
,,自爆,Self-Destruct,,,,,,Selbstzerstören,,,,
,,海祭,Sea Ritual,,,,,,Meeresritual,,,,
,,污浊,Fouled,,,,,,Verunreinigt,,,,
,,盛宴,Banquet,,,,,,Bankett,,,,
,,尸染,Corpse Tint,,,,,,Leichenfarbe,,,,
,,掘墓,Grave Robber,,,,,,Grabräuber,,,,
,,墓碑之嚎,Tombstone Howl,,,,,,Grabstein-Heulen,,,,
,,墓群的召唤,Summoning of the Tombs,,,,,,Beschwörung der Grabsteine,,,,
,,满月的呼唤,Call of the Full Moon,,,,,,Ruf des Vollmondes,,,,
,,撕裂之爪,Rend Claw,,,,,,Zerreißende Klaue,,,,
,,蚀灵,Soul Devourer,,,,,,Seelenfresser,,,,
,,刺骨,Scathe,,,,,,Verletzen,,,,
,,饥饿意志,Hunger Will,,,,,,Hungerwille,,,,
,,不灭之魂,Undying Soul,,,,,,Unsterbliche Seele,,,,
,,灵魂侵吞,Soul Devouring,,,,,,Seelenfressen,,,,
,,海洋的召唤,Summon of the Sea,,,,,,Beschwörung des Meeres,,,,
,,深海的呼唤,Call of the Sea,,,,,,Ruf des Meeres,,,,
,,怒海狂涛,Raging Sea,,,,,,Tosende See,,,,
,,贪欲,Greed,,,,,,Gier,,,,
